ВыгрузкаНаСклад,Наим. ЕТСНГ,Штабель,ПогрузкаНаСудно,"На склад, тн","На судно, тн",Склад
2019-01-07,C3,22,2019-02-07,743.4015,743.4015,3
2019-01-07,C3,24,2019-01-17,11319.8325,11319.8325,4
2019-01-07,C3,28,2019-01-17,19904.764499999997,19904.764499999997,4
2019-01-08,A1,22,2019-02-07,5835.0885,5835.0885,3
2019-01-08,A1,12,2019-01-17,1342.4815,1342.4815,4
2019-01-08,C3,22,2019-02-07,1109.7685,1109.7685,3
2019-01-08,C3,24,2019-01-17,1512.1754999999998,1512.1754999999998,4
2019-01-08,C3,24,2019-02-04,184.7815,184.7815,4
2019-01-08,C3,28,2019-01-17,23849.028,23849.028,4
2019-01-08,B2,21,2019-01-22,371.8325,371.8325,3
2019-01-09,G7,9,2019-03-11,198.5345,198.5345,4
2019-01-09,A1,21,2019-01-22,398.939,398.939,3
2019-01-09,A1,22,2019-02-07,13549.7735,13549.7735,3
2019-01-09,A1,37,2019-02-23,12222.3795,12222.3795,3
2019-01-09,A1,6,2019-03-21,184.246,184.246,4
2019-01-09,A1,6,2019-02-17,368.5005,368.5005,4
2019-01-09,A1,12,2019-01-17,14108.13,14108.13,4
2019-01-09,C3,24,2019-02-04,557.4214999999999,557.4214999999999,4
2019-01-09,C3,28,2019-01-17,15679.184999999998,15679.184999999998,4
2019-01-09,B2,21,2019-01-22,11946.41,11946.41,3
2019-01-10,G7,9,2019-03-11,23511.901,23511.901,4
2019-01-10,E5,1,2019-02-08,25899.262,25899.262,3
2019-01-10,A1,22,2019-02-07,12354.8265,12354.8265,3
2019-01-10,A1,37,2019-02-23,12703.5645,12703.5645,3
2019-01-10,A1,6,2019-02-17,8843.9525,8843.9525,4
2019-01-10,A1,12,2019-01-17,189.5925,189.5925,4
2019-01-10,C3,24,2019-01-17,11545.737,11545.737,4
2019-01-10,C3,24,2019-02-04,3335.706,3335.706,4
2019-01-10,C3,28,2019-01-17,388.926,388.926,4
2019-01-11,A1,22,2019-02-07,24142.227,24142.227,3
2019-01-11,A1,37,2019-02-23,5535.4805,5535.4805,3
2019-01-11,A1,6,2019-03-21,552.7465,552.7465,4
2019-01-11,A1,6,2019-02-17,368.5005,368.5005,4
2019-01-11,C3,22,2019-02-07,1639.0125,1639.0125,3
2019-01-11,C3,24,2019-01-17,10668.8175,10557.535499999998,4
2019-01-11,C3,24,2019-02-04,9113.1135,9038.543,4
2019-01-11,C3,28,2019-02-04,5956.987,5956.987,4
2019-01-11,B2,21,2019-02-18,199.206,199.206,3
2019-01-12,G7,9,2019-03-26,397.3409999999999,360.06,4
2019-01-12,G7,9,2019-03-11,5474.9945,5313.6135,4
2019-01-12,C3,28,2019-02-04,2452.777,2452.777,4
2019-01-12,B2,21,2019-01-22,12060.9645,12060.9645,3
2019-01-12,B2,21,2019-01-22,6123.2045,6123.2045,3
2019-01-13,G7,9,2019-03-26,581.0515,581.0515,4
2019-01-13,E5,1,2019-02-08,185.0535,185.0535,3
2019-01-13,A1,21,2019-01-22,184.7815,184.7815,3
2019-01-13,A1,22,2019-02-07,5870.066,5870.066,3
2019-01-13,A1,6,2019-03-21,184.246,184.246,4
2019-01-13,A1,6,2019-02-17,921.247,921.247,4
2019-01-13,A1,12,2019-02-04,14489.4485,14489.4485,4
2019-01-13,C3,24,2019-02-04,186.5155,186.5155,4
2019-01-13,B2,1,2019-02-08,14063.802500000002,14063.802500000002,3
2019-01-13,B2,21,2019-02-18,198.798,198.798,3
2019-01-14,G7,9,2019-03-26,183.1835,183.1835,4
2019-01-14,E5,1,2019-02-08,958.63,958.63,3
2019-01-14,A1,6,2019-02-17,552.7465,552.7465,4
2019-01-14,A1,12,2019-02-12,12417.8455,12417.8455,4
2019-01-14,A1,35,2019-02-23,43894.782,43894.782,4
2019-01-14,C3,24,2019-02-04,384.523,384.523,4
2019-01-14,B2,1,2019-02-08,32530.622,32530.622,3
2019-01-14,B2,21,2019-02-18,199.206,199.206,3
2019-01-15,E5,17,2019-02-28,34676.591499999995,34676.591499999995,3
2019-01-15,A1,22,2019-02-07,186.116,186.116,3
2019-01-15,A1,6,2019-02-08,184.246,184.246,4
2019-01-15,A1,6,2019-02-17,184.246,184.246,4
2019-01-15,A1,12,2019-02-12,204.8075,204.8075,4
2019-01-15,A1,15,2019-02-25,12713.178,12713.178,4
2019-01-15,A1,35,2019-02-23,11617.2985,11617.2985,4
2019-01-15,C3,24,2019-02-12,1666.119,1666.119,4
2019-01-15,B2,21,2019-01-22,1192.0144999999998,1192.0144999999998,3
2019-01-16,E5,17,2019-02-28,13440.2935,13440.2935,3
2019-01-16,A1,22,2019-02-07,1515.6519999999998,1515.6519999999998,3
2019-01-16,A1,12,2019-02-12,6680.3625,6680.3625,4
2019-01-16,A1,15,2019-02-25,11054.938499999998,11054.938499999998,4
2019-01-16,A1,19,2019-02-28,14149.7885,14149.7885,4
2019-01-16,A1,35,2019-02-23,1109.4965,1109.4965,4
2019-01-16,C3,22,2019-02-07,736.9925,736.9925,3
2019-01-16,B2,1,2019-02-08,11989.539,11989.539,3
2019-01-17,G7,9,2019-03-26,554.7524999999999,554.7524999999999,4
2019-01-17,E5,1,2019-02-08,186.388,186.388,3
2019-01-17,A1,22,2019-02-07,3567.7559999999994,3567.7559999999994,3
2019-01-17,A1,50,2019-02-17,10502.192,10502.192,3
2019-01-17,A1,6,2019-02-17,1105.493,1105.493,4
2019-01-17,A1,12,2019-02-12,189.5925,189.5925,4
2019-01-17,A1,15,2019-02-25,368.5005,368.5005,4
2019-01-17,A1,19,2019-02-28,65123.2005,65123.2005,4
2019-01-17,A1,35,2019-02-23,15132.1845,14948.4655,4
2019-01-17,C3,22,2019-02-07,185.8525,185.8525,3
2019-01-17,B2,1,2019-02-08,13173.266,13173.266,3
2019-01-17,B2,21,2019-01-22,12323.053499999998,12323.053499999998,3
2019-01-18,E5,17,2019-02-28,8240.733,8240.733,3
2019-01-18,A1,6,2019-02-17,4790.4725,4790.4725,4
2019-01-18,A1,6,2019-02-08,184.246,184.246,4
2019-01-18,B2,21,2019-01-22,5728.405,5716.539,3
2019-01-18,B2,21,2019-02-18,10476.42,10289.3605,3
2019-01-19,E5,17,2019-02-28,3991.5235,3991.5235,3
2019-01-19,A1,21,2019-01-22,188.785,188.785,3
2019-01-19,A1,12,2019-02-12,186.116,186.116,4
2019-01-19,B2,21,2019-02-18,23216.5685,23216.5685,3
2019-01-21,G7,9,2019-03-26,550.477,550.477,4
2019-01-21,G7,9,2019-03-26,3663.2195,3663.2195,4
2019-01-21,G7,9,2019-03-26,9825.541,9825.541,4
2019-01-21,A1,12,2019-02-12,6693.1804999999995,6693.1804999999995,4
2019-01-22,A1,6,2019-02-17,8291.206,8291.206,4
2019-01-22,A1,19,2019-03-09,2787.7705,2787.7705,4
2019-01-22,B2,1,2019-02-08,19681.7925,19681.7925,3
2019-01-23,B2,1,2019-02-08,24527.5405,24527.5405,3
2019-01-24,E5,17,2019-02-28,13070.7305,13070.7305,3
2019-01-24,A1,12,2019-02-12,6828.696,6828.696,4
2019-01-24,A1,15,2019-02-25,11054.938499999998,11054.938499999998,4
2019-01-24,B2,1,2019-02-08,14391.7155,14391.7155,3
2019-01-24,B2,5,2019-02-18,26011.419499999996,26011.419499999996,3
2019-01-25,A1,37,2019-02-23,18281.239,18281.239,3
2019-01-25,A1,12,2019-02-12,13487.29,13487.29,4
2019-01-25,A1,19,2019-03-09,12210.369,12210.369,4
2019-01-25,A1,19,2019-02-28,13501.179,13501.179,4
2019-01-25,A1,35,2019-02-23,18840.3945,18840.3945,4
2019-01-26,G7,30,2019-04-14,594.133,481.559,4
2019-01-26,G7,30,2019-03-26,23306.9575,23221.6685,4
2019-01-26,A1,6,2019-02-17,5527.4735,5527.4735,4
2019-01-26,A1,19,2019-03-09,11102.734,11102.734,4
2019-01-26,A1,35,2019-02-23,9395.0925,9395.0925,4
2019-01-26,B2,5,2019-02-18,8204.0215,8186.809,3
2019-01-26,B2,5,2019-03-04,24103.637,23922.0515,3
2019-01-26,B2,33,2019-02-08,4199.8075,4199.8075,4
2019-01-27,A1,6,2019-02-17,45498.816999999995,45314.571,4
2019-01-27,A1,12,2019-02-12,184.7815,174.692,4
2019-01-27,A1,12,2019-02-22,5607.314,5432.6135,4
2019-01-27,A1,12,2019-05-01,742.8745,742.8745,4
2019-01-27,A1,12,2019-02-22,2598.977,2598.977,4
2019-01-27,A1,12,2019-02-12,7310.9435,7310.9435,4
2019-01-27,A1,15,2019-02-25,6080.219999999999,6080.219999999999,4
2019-01-28,G7,9,2019-03-26,377.0429999999999,377.0429999999999,4
2019-01-28,G7,30,2019-04-14,364.361,364.361,4
2019-01-28,A1,50,2019-02-17,5527.4735,5527.4735,3
2019-01-28,A1,6,2019-02-08,184.246,184.246,4
2019-01-28,A1,6,2019-02-17,7554.204999999999,7554.204999999999,4
2019-01-28,A1,12,2019-02-12,199.733,199.733,4
2019-01-28,A1,12,2019-02-22,570.1035,570.1035,4
2019-01-28,A1,15,2019-02-25,13450.179,13450.179,4
2019-01-28,A1,35,2019-02-23,31169.585,30986.401499999996,4
2019-01-28,C3,22,2019-02-07,182.1125,182.1125,3
2019-01-28,B2,33,2019-02-08,599.2075,599.2075,4
2019-01-29,G7,9,2019-03-26,371.0335,371.0335,4
2019-01-29,G7,9,2019-03-26,934.3285,934.3285,4
2019-01-29,G7,30,2019-04-14,407.7535,407.7535,4
2019-01-29,A1,22,2019-02-07,199.733,199.733,3
2019-01-29,A1,50,2019-02-17,16029.656999999996,16029.656999999996,3
2019-01-29,A1,6,2019-02-17,368.5005,368.5005,4
2019-01-29,A1,12,2019-02-12,199.4695,199.4695,4
2019-01-29,A1,15,2019-02-25,184.246,184.246,4
2019-01-29,A1,19,2019-03-09,365.8315,365.8315,4
2019-01-29,A1,35,2019-02-23,928.455,928.455,4
2019-01-29,B2,5,2019-03-04,956.0885,956.0885,3
2019-01-30,G7,9,2019-03-26,951.15,951.15,4
2019-01-30,G7,30,2019-03-26,4921.585,4921.585,4
2019-01-30,G7,30,2019-04-14,2690.7005,2690.7005,4
2019-01-30,A1,22,2019-02-07,199.733,199.733,3
2019-01-30,A1,50,2019-02-17,24320.863,24320.863,3
2019-01-30,A1,6,2019-02-17,368.5005,368.5005,4
2019-01-30,A1,12,2019-02-22,1484.6695,1484.6695,4
2019-01-30,A1,15,2019-02-25,11054.938499999998,11054.938499999998,4
2019-01-30,A1,19,2019-02-28,12618.386,12618.386,4
2019-01-30,A1,35,2019-02-23,10130.487,10130.487,4
2019-01-30,B2,21,2019-02-18,2956.3935,2956.3935,3
2019-01-31,G7,9,2019-03-26,184.246,184.246,4
2019-01-31,G7,30,2019-03-26,11818.1025,11818.1025,4
2019-01-31,A1,22,2019-02-07,184.7815,184.7815,3
2019-01-31,A1,6,2019-02-17,3500.7335000000003,3436.958,4
2019-01-31,A1,6,2019-03-21,1473.9934999999998,1353.5144999999998,4
2019-01-31,A1,6,2019-02-17,1289.7389999999998,1289.7389999999998,4
2019-01-31,A1,6,2019-03-21,3684.9795,3650.886,4
2019-01-31,A1,6,2019-03-21,5158.973,5158.973,4
2019-01-31,A1,6,2019-02-17,4606.2265,4606.2265,4
2019-01-31,A1,6,2019-02-17,162.486,184.246,4
2019-01-31,A1,6,2019-02-17,3500.7335000000003,3350.5725,4
2019-01-31,A1,12,2019-02-22,4630.255999999999,4630.255999999999,4
2019-01-31,A1,12,2019-05-01,583.7205,583.7205,4
2019-01-31,A1,12,2019-02-12,12384.602,12384.602,4
2019-01-31,A1,15,2019-02-25,1658.2395,1658.2395,4
2019-01-31,A1,19,2019-02-28,13935.367499999998,13935.367499999998,4
2019-01-31,A1,35,2019-02-23,365.8315,365.8315,4
2019-01-31,B2,1,2019-02-08,399.4745,399.4745,3
2019-01-31,B2,5,2019-03-04,755.2845,755.2845,3
2019-01-31,B2,21,2019-02-18,198.5345,198.5345,3
2019-02-01,G7,9,2019-03-26,573.308,573.308,4
2019-02-01,G7,30,2019-04-14,11192.188,11192.188,4
2019-02-01,E5,17,2019-02-28,385.7215,385.7215,3
2019-02-01,E5,33,2019-02-08,199.733,199.733,4
2019-02-01,A1,6,2019-03-21,5527.4735,5527.4735,4
2019-02-01,A1,6,2019-03-21,368.5005,368.5005,4
2019-02-01,A1,6,2019-03-21,184.246,184.246,4
2019-02-01,A1,6,2019-03-21,2763.7324999999996,2763.7324999999996,4
2019-02-01,A1,6,2019-03-21,184.246,184.246,4
2019-02-01,A1,6,2019-03-21,3132.2329999999997,3132.2329999999997,4
2019-02-01,A1,6,2019-03-21,2763.7324999999996,2763.7324999999996,4
2019-02-01,A1,6,2019-03-21,184.246,184.246,4
2019-02-01,A1,6,2019-03-21,2579.4865,2579.4865,4
2019-02-01,A1,12,2019-02-22,11116.487,11116.487,4
2019-02-01,A1,12,2019-03-02,11781.918,11781.918,4
2019-02-01,A1,15,2019-02-25,10317.946,10317.946,4
2019-02-01,A1,19,2019-02-28,13966.877,13966.877,4
2019-02-01,A1,19,2019-03-09,1081.727,1081.727,4
2019-02-01,B2,5,2019-03-04,14269.953,14269.953,3
2019-02-01,B2,21,2019-04-02,596.4024999999999,596.4024999999999,3
2019-02-01,B2,33,2019-02-08,1597.8894999999998,1491.0615,4
2019-02-01,B2,33,2019-04-28,399.4745,306.5695,4
2019-02-02,E5,17,2019-02-28,2878.9585,2878.9585,3
2019-02-02,A1,22,2019-02-25,186.116,186.116,3
2019-02-02,A1,6,2019-03-21,184.246,184.246,4
2019-02-02,A1,6,2019-03-21,11423.439,11423.439,4
2019-02-02,A1,6,2019-03-21,1618.451,1658.2395,4
2019-02-02,A1,6,2019-03-21,3132.2329999999997,3132.2329999999997,4
2019-02-02,A1,6,2019-03-21,184.246,184.246,4
2019-02-02,A1,6,2019-03-21,7922.7055,7922.7055,4
2019-02-02,A1,6,2019-03-21,2763.7324999999996,2763.7324999999996,4
2019-02-02,A1,6,2019-03-21,1473.9934999999998,1473.9934999999998,4
2019-02-02,A1,6,2019-03-21,736.9925,736.9925,4
2019-02-02,A1,6,2019-03-21,184.246,184.246,4
2019-02-02,A1,12,2019-03-02,558.0845,558.0845,4
2019-02-02,A1,12,2019-02-22,2226.2095,2226.2095,4
2019-02-02,A1,35,2019-02-23,8319.511,8319.511,4
2019-02-02,B2,5,2019-03-04,13165.7945,13165.7945,3
2019-02-02,B2,33,2019-04-28,399.4745,399.4745,4
2019-02-03,A1,6,2019-03-21,368.5005,368.5005,4
2019-02-03,A1,6,2019-03-21,3684.9795,3684.9795,4
2019-02-03,A1,6,2019-03-21,1658.2395,1658.2395,4
2019-02-03,A1,6,2019-03-21,736.9925,736.9925,4
2019-02-03,A1,6,2019-03-21,6448.712,6448.712,4
2019-02-03,A1,6,2019-03-21,1105.493,1105.493,4
2019-02-03,A1,6,2019-03-21,15108.4185,15108.4185,4
2019-02-03,A1,6,2019-03-21,184.246,184.246,4
2019-02-03,A1,12,2019-02-22,11877.3815,11877.3815,4
2019-02-03,A1,15,2019-02-25,24320.863,24320.863,4
2019-02-04,G7,30,2019-04-14,397.7405,397.7405,4
2019-02-04,G7,30,2019-03-26,998.2825,998.2825,4
2019-02-04,A1,6,2019-03-21,368.5005,368.5005,4
2019-02-04,A1,12,2019-02-22,942.208,942.208,4
2019-02-04,A1,12,2019-03-02,187.187,187.187,4
2019-02-04,A1,15,2019-02-25,368.5005,368.5005,4
2019-02-04,A1,19,2019-02-28,557.022,557.022,4
2019-02-04,C3,22,2019-02-25,2760.7999999999997,2760.7999999999997,3
2019-02-05,G7,30,2019-04-14,12514.38,12514.38,4
2019-02-05,A1,22,2019-02-25,571.1745,571.1745,3
2019-02-05,A1,6,2019-03-21,368.5005,368.5005,4
2019-02-05,A1,15,2019-02-25,368.5005,368.5005,4
2019-02-05,A1,19,2019-02-28,186.116,186.116,4
2019-02-05,A1,35,2019-02-23,369.2995,369.2995,4
2019-02-05,C3,17,2019-02-28,184.9175,184.9175,3
2019-02-05,C3,22,2019-02-25,740.7325000000001,740.7325000000001,3
2019-02-05,B2,5,2019-03-26,7629.5065,7614.946,3
2019-02-05,B2,5,2019-03-04,19208.487,19038.9375,3
2019-02-05,B2,21,2019-03-18,2785.6285,2785.6285,3
2019-02-05,B2,21,2019-02-28,6159.9245,6159.9245,3
2019-02-06,A1,12,2019-02-22,35863.5315,35863.5315,4
2019-02-06,A1,12,2019-03-02,6166.9965,6166.9965,4
2019-02-06,A1,40,2019-02-25,3869.2255,3869.2255,4
2019-02-06,C3,22,2019-02-25,5311.7095,5311.7095,3
2019-02-06,B2,5,2019-03-26,24308.181,24308.181,3
2019-02-06,B2,21,2019-02-28,6560.461499999999,6560.461499999999,3
2019-02-07,G7,9,2019-03-26,11753.749,11753.749,4
2019-02-07,A1,41,2019-02-23,5724.0019999999995,5538.4214999999995,3
2019-02-07,A1,19,2019-03-09,555.6875,555.6875,4
2019-02-07,A1,35,2019-02-23,185.317,185.317,4
2019-02-07,A1,40,2019-02-25,12160.4315,12160.4315,4
2019-02-07,C3,22,2019-02-25,2957.6005,2957.6005,3
2019-02-07,C3,32,2019-02-22,11524.1045,11411.743,3
2019-02-07,C3,32,2019-02-26,21263.9315,21190.040999999997,3
2019-02-07,B2,1,2019-04-28,604.554,604.554,3
2019-02-08,A1,41,2019-02-23,37897.607,37835.888499999994,3
2019-02-08,A1,41,2019-03-01,9418.8585,9296.3395,3
2019-02-08,A1,6,2019-03-21,184.246,184.246,4
2019-02-08,A1,6,2019-03-21,184.246,184.246,4
2019-02-08,C3,22,2019-02-25,185.5805,185.5805,3
2019-02-08,C3,32,2019-02-26,558.3565,558.3565,3
2019-02-08,C3,41,2019-03-15,6832.164,6832.164,3
2019-02-09,G7,9,2019-03-26,3386.842,3386.842,4
2019-02-09,A1,46,2019-03-03,23977.9985,23977.9985,3
2019-02-09,C3,32,2019-02-26,929.6535,743.937,3
2019-02-10,G7,9,2019-03-26,1560.906,1560.906,4
2019-02-10,A1,37,2019-02-23,182.1125,182.1125,3
2019-02-10,A1,37,2019-03-01,12670.185,12670.185,3
2019-02-10,A1,12,2019-02-26,766.3685,766.3685,4
2019-02-10,A1,12,2019-03-02,557.1495,557.1495,4
2019-02-10,B2,5,2019-03-26,198.934,198.934,3
2019-02-10,B2,21,2019-02-28,198.6705,198.6705,3
2019-02-11,G7,30,2019-04-14,10543.179,10543.179,4
2019-02-11,A1,22,2019-02-25,6264.194,6264.194,3
2019-02-11,A1,41,2019-03-01,11762.2915,11762.2915,3
2019-02-11,A1,46,2019-03-03,18565.887,18565.887,3
2019-02-11,A1,12,2019-03-02,29354.869,29354.869,4
2019-02-11,A1,19,2019-03-09,11535.0525,11535.0525,4
2019-02-11,C3,32,2019-03-15,1211.505,1119.3225,3
2019-02-11,C3,32,2019-03-02,12745.6225,12638.1995,3
2019-02-11,B2,5,2019-03-26,11127.299,11127.299,3
2019-02-12,A1,46,2019-03-03,20639.887,20639.887,3
2019-02-12,A1,19,2019-03-09,751.9525,751.9525,4
2019-02-12,A1,40,2019-02-25,5527.4735,5527.4735,4
2019-02-12,C3,32,2019-02-26,1486.2759999999998,1276.1815,3
2019-02-12,C3,32,2019-03-02,954.754,792.88,3
2019-02-12,C3,32,2019-03-15,10068.2755,10068.2755,3
2019-02-12,B2,48,2019-03-11,34051.4845,34051.4845,3
2019-02-13,A1,37,2019-03-01,35741.633,35741.633,3
2019-02-13,A1,46,2019-03-03,12546.5525,12546.5525,3
2019-02-13,B2,49,2019-03-24,4588.8695,4515.438,4
2019-02-13,B2,49,2019-02-28,3975.773,3850.2705,4
2019-02-14,E5,1,2019-03-03,12178.052,12178.052,3
2019-02-14,A1,37,2019-03-01,7748.3365,7748.3365,3
2019-02-14,A1,41,2019-03-01,550.0775,550.0775,3
2019-02-14,A1,46,2019-03-03,11703.2845,11703.2845,3
2019-02-14,A1,12,2019-03-02,557.1495,557.1495,4
2019-02-14,B2,49,2019-03-24,21350.0535,21350.0535,4
2019-02-15,E5,17,2019-02-28,596.938,596.938,3
2019-02-15,A1,22,2019-02-25,368.2285,368.2285,3
2019-02-15,A1,37,2019-03-01,3854.0105,3854.0105,3
2019-02-15,A1,46,2019-03-03,404.277,404.277,3
2019-02-15,A1,6,2019-03-21,4237.726000000001,4237.726000000001,4
2019-02-15,A1,6,2019-03-21,3500.7335000000003,3500.7335000000003,4
2019-02-15,A1,12,2019-03-02,368.2285,368.2285,4
2019-02-15,A1,12,2019-02-26,189.5925,189.5925,4
2019-02-15,A1,19,2019-03-09,186.116,186.116,4
2019-02-15,C3,32,2019-03-02,186.252,186.252,3
2019-02-15,C3,32,2019-03-15,186.252,186.252,3
2019-02-15,B2,5,2019-03-26,12453.231,12453.231,3
2019-02-15,B2,51,2019-03-11,14119.7495,14119.7495,3
2019-02-16,G7,30,2019-04-14,198.3985,198.3985,4
2019-02-16,A1,12,2019-03-15,369.563,369.563,4
2019-02-16,A1,19,2019-03-09,2169.5995,2169.5995,4
2019-02-16,C3,32,2019-03-15,17490.9685,17490.9685,3
2019-02-16,B2,51,2019-03-11,17822.612999999998,17822.612999999998,3
2019-02-16,B2,35,2019-03-01,189.5925,189.5925,4
2019-02-16,B2,49,2019-03-24,12295.4115,12295.4115,4
2019-02-17,A1,6,2019-03-21,1289.7389999999998,1289.7389999999998,4
2019-02-17,A1,6,2019-03-21,184.246,184.246,4
2019-02-17,A1,6,2019-03-21,184.246,184.246,4
2019-02-17,A1,6,2019-03-21,1658.2395,1658.2395,4
2019-02-17,A1,19,2019-03-09,11850.683,11850.683,4
2019-02-17,A1,35,2019-03-03,1108.434,1055.02,4
2019-02-17,A1,35,2019-03-15,4615.839999999999,4484.9995,4
2019-02-17,C3,32,2019-03-15,370.3705,370.3705,3
2019-02-17,B2,5,2019-03-26,921.6465,921.6465,3
2019-02-17,B2,51,2019-03-11,21080.4845,21080.4845,3
2019-02-18,A1,15,2019-02-25,921.247,921.247,4
2019-02-18,A1,19,2019-03-09,551.9475,551.9475,4
2019-02-18,C3,22,2019-02-25,554.081,554.081,3
2019-02-18,C3,32,2019-03-15,370.634,370.634,3
2019-02-18,B2,37,2019-03-01,185.0535,185.0535,3
2019-02-18,B2,51,2019-03-11,27125.8545,27125.8545,3
2019-02-18,B2,49,2019-03-24,12303.0275,12303.0275,4
2019-02-19,A1,46,2019-03-03,34671.653,34671.653,3
2019-02-19,B2,51,2019-03-11,15176.6395,15176.6395,3
2019-02-20,G7,9,2019-03-26,553.2819999999999,553.2819999999999,4
2019-02-20,E5,46,2019-03-03,11897.4075,11897.4075,3
2019-02-20,A1,22,2019-02-25,186.116,186.116,3
2019-02-20,A1,46,2019-03-03,11007.942,10803.398,3
2019-02-20,A1,6,2019-03-21,184.246,184.246,4
2019-02-20,A1,12,2019-03-02,26433.8525,26433.8525,4
2019-02-20,A1,12,2019-03-15,56546.5475,56546.5475,4
2019-02-20,A1,40,2019-02-25,184.246,184.246,4
2019-02-20,C3,32,2019-03-15,582.9214999999999,582.9214999999999,3
2019-02-21,G7,9,2019-03-26,1723.9275,1723.9275,4
2019-02-21,E5,46,2019-03-03,10536.3705,10536.3705,3
2019-02-21,A1,41,2019-03-15,2205.3759999999997,2205.3759999999997,3
2019-02-21,A1,46,2019-03-03,3823.8355,3823.8355,3
2019-02-21,A1,6,2019-03-21,169.031,184.246,4
2019-02-21,A1,6,2019-03-21,149.804,184.246,4
2019-02-21,A1,6,2019-03-21,184.246,184.246,4
2019-02-21,A1,6,2019-03-21,184.246,184.246,4
2019-02-21,A1,12,2019-03-02,185.453,185.453,4
2019-02-21,A1,19,2019-03-09,11530.25,11530.25,4
2019-02-21,A1,35,2019-03-17,9947.5755,9947.5755,4
2019-02-21,A1,35,2019-03-15,3908.7505,3908.7505,4
2019-02-21,A1,40,2019-02-25,1658.2395,1658.2395,4
2019-02-22,G7,9,2019-03-26,945.676,945.676,4
2019-02-22,A1,12,2019-03-15,39776.9485,39776.9485,4
2019-02-22,A1,35,2019-03-15,46267.319,46267.319,4
2019-02-22,C3,35,2019-03-15,370.2345,370.2345,4
2019-02-23,G7,9,2019-03-26,794.937,794.937,4
2019-02-23,G7,30,2019-04-14,1742.4915,1742.4915,4
2019-02-23,E5,46,2019-03-03,12539.608,12539.608,3
2019-02-23,A1,46,2019-03-03,965.838,965.838,3
2019-02-23,A1,6,2019-03-21,184.246,184.246,4
