Дата составления,Груз,"Вес по акту, тн",Склад,Дата начала,Дата оконч.,Нач.форм.штабеля,Штабель
2019-08-06,A1,127.5,4,2019-08-06 09:00:00,2019-08-06 21:00:00,2019-05-19 00:00:00,22
2019-08-07,A1,382.5,3,2019-08-06 09:00:00,2019-08-07 21:00:00,2019-07-18 01:31:00,1
2019-08-07,A1,382.5,3,2019-08-07 09:00:00,2019-08-07 21:00:00,2019-07-18 01:31:00,1
2019-08-08,A1,204.0,3,2019-08-08 09:00:00,2019-08-08 21:00:00,2019-07-18 01:31:00,1
2019-08-09,A1,93.5,3,2019-08-08 21:00:00,2019-08-09 09:00:00,2019-07-03 00:00:00,10
2019-08-09,A1,204.0,3,2019-08-08 21:00:00,2019-08-09 09:00:00,2019-07-18 01:31:00,1
2019-08-09,A1,204.0,3,2019-08-09 09:00:00,2019-08-09 21:00:00,2019-07-18 01:31:00,1
2019-08-09,A1,127.5,3,2019-08-09 09:00:00,2019-08-09 21:00:00,2019-07-03 00:00:00,10
2019-08-10,A1,93.5,4,2019-08-10 09:00:00,2019-08-10 21:00:00,2019-04-28 23:55:00,15
2019-08-14,A1,382.5,3,2019-08-13 21:00:00,2019-08-14 09:00:00,2019-07-18 01:31:00,1
2019-08-14,A1,212.5,4,2019-08-13 21:00:00,2019-08-14 09:00:00,2019-07-30 00:00:00,40
2019-08-15,A1,204.0,3,2019-08-15 09:00:00,2019-08-15 21:00:00,2019-07-18 01:31:00,1
2019-08-15,A1,170.0,4,2019-08-15 09:00:00,2019-08-15 21:00:00,2019-07-30 00:00:00,40
2019-08-18,A1,34.0,4,2019-08-18 09:00:00,2019-08-18 21:00:00,2019-07-30 00:00:00,40
2019-08-20,A1,68.0,3,2019-08-19 21:00:00,2019-08-20 09:00:00,2019-07-18 01:31:00,1
2019-08-21,A1,807.5,3,2019-08-20 21:00:00,2019-08-21 09:00:00,2019-07-18 01:31:00,1
2019-08-21,A1,102.0,4,2019-08-20 21:00:00,2019-08-21 09:00:00,2019-04-28 23:55:00,15
2019-08-21,A1,127.5,4,2019-08-20 21:00:00,2019-08-21 09:00:00,2019-07-30 00:00:00,40
2019-08-22,A1,127.5,4,2019-08-22 09:00:00,2019-08-22 21:00:00,2019-07-30 00:00:00,40
2019-08-22,A1,382.5,3,2019-08-22 09:00:00,2019-08-22 21:00:00,2019-07-18 01:31:00,1
2019-08-24,A1,382.5,3,2019-08-24 09:00:00,2019-08-24 21:00:00,2019-07-18 01:31:00,1
2019-08-24,A1,382.5,4,2019-08-24 09:00:00,2019-08-24 21:00:00,2019-07-30 00:00:00,40
2019-08-25,A1,425.0,4,2019-08-24 21:00:00,2019-08-25 09:00:00,2019-07-30 00:00:00,40
2019-08-25,A1,425.0,3,2019-08-24 21:00:00,2019-08-25 09:00:00,2019-07-18 01:31:00,1
2019-08-27,A1,255.0,3,2019-08-26 21:00:00,2019-08-27 09:00:00,2019-07-18 01:31:00,1
2019-08-27,A1,170.0,3,2019-08-27 09:00:00,2019-08-27 21:00:00,2019-07-18 01:31:00,1
2019-08-28,A1,255.0,3,2019-08-27 21:00:00,2019-08-28 09:00:00,2019-07-18 01:31:00,1
2019-08-29,A1,212.5,3,2019-08-29 09:00:00,2019-08-29 21:00:00,2019-07-18 01:31:00,1
2019-08-29,A1,340.0,3,2019-08-28 21:00:00,2019-08-29 09:00:00,2019-07-18 01:31:00,1
2019-08-30,A1,467.5,3,2019-08-30 09:00:00,2019-08-30 21:00:00,2019-07-18 01:31:00,1
2019-08-31,A1,467.5,4,2019-08-31 09:00:00,2019-08-31 21:00:00,2019-07-30 00:00:00,40
2019-09-02,A1,212.5,4,2019-09-02 21:00:00,2019-09-03 09:00:00,2019-07-30 00:00:00,40
2019-09-02,A1,297.5,3,2019-09-02 21:00:00,2019-09-03 09:00:00,2019-07-18 01:31:00,1
2019-09-02,A1,297.5,3,2019-09-02 09:00:00,2019-09-02 21:00:00,2019-07-18 01:31:00,1
2019-09-03,A1,127.5,4,2019-09-03 21:00:00,2019-09-04 09:00:00,2019-07-30 00:00:00,40
2019-09-03,A1,552.5,3,2019-09-03 21:00:00,2019-09-04 09:00:00,2019-07-18 01:31:00,1
2019-09-03,A1,42.5,4,2019-09-03 09:00:00,2019-09-03 21:00:00,2019-02-07 00:00:00,40
2019-09-03,A1,255.0,3,2019-09-03 09:00:00,2019-09-03 21:00:00,2019-07-18 01:31:00,1
2019-09-03,A1,722.5,4,2019-09-02 21:00:00,2019-09-03 09:00:00,2019-04-28 23:55:00,15
2019-09-04,A1,340.0,3,2019-09-03 21:00:00,2019-09-04 09:00:00,2019-07-18 01:31:00,1
2019-09-04,A1,340.0,3,2019-09-04 09:00:00,2019-09-04 21:00:00,2019-07-18 01:31:00,1
2019-09-04,A1,85.0,4,2019-09-04 09:00:00,2019-09-04 21:00:00,2019-07-30 00:00:00,40
2019-09-05,A1,850.0,3,2019-09-04 21:00:00,2019-09-05 09:00:00,2019-07-18 01:31:00,1
2019-09-05,A1,935.0,3,2019-09-05 09:00:00,2019-09-05 21:00:00,2019-01-01 00:00:00,1
2019-09-06,A1,1700.0,3,2019-09-05 21:00:00,2019-09-06 09:00:00,2019-07-18 01:31:00,1
2019-09-06,A1,34.0,4,2019-09-06 09:00:00,2019-09-06 21:00:00,2019-07-30 00:00:00,40
2019-09-07,A1,127.5,4,2019-09-07 09:00:00,2019-09-07 21:00:00,2019-07-29 00:00:00,46
2019-09-07,A1,552.5,4,2019-09-07 09:00:00,2019-09-07 21:00:00,2019-02-07 00:00:00,40
2019-09-08,A1,212.5,4,2019-09-08 09:00:00,2019-09-08 21:00:00,2019-02-07 00:00:00,40
2019-09-08,A1,212.5,4,2019-09-08 09:00:00,2019-09-08 21:00:00,2019-07-29 00:00:00,46
2019-09-09,A1,212.5,4,2019-08-08 21:00:00,2019-09-09 09:00:00,2019-02-07 00:00:00,40
2019-09-09,A1,2125.0,4,2019-09-09 09:00:00,2019-09-09 21:00:00,2019-02-07 00:00:00,40
2019-09-09,A1,212.5,4,2019-09-09 09:00:00,2019-09-09 21:00:00,2019-07-29 00:00:00,46
2019-09-10,A1,756.5,4,2019-09-09 21:00:00,2019-09-10 09:00:00,2019-02-07 00:00:00,40
2019-09-10,A1,212.5,4,2019-09-09 21:00:00,2019-09-10 09:00:00,2019-07-29 00:00:00,46
2019-09-10,A1,212.5,4,2019-09-10 09:00:00,2019-09-10 21:00:00,2019-07-29 00:00:00,46
2019-09-12,A1,212.5,4,2019-09-11 21:00:00,2019-09-12 09:00:00,2019-07-29 00:00:00,46
2019-09-13,A1,340.0,4,2019-09-12 21:00:00,2019-08-13 09:00:00,2019-07-29 00:00:00,46
2019-09-14,A1,255.0,4,2019-09-13 21:00:00,2019-09-14 09:00:00,2019-07-29 00:00:00,46
2019-09-15,A1,127.5,4,2019-09-15 09:00:00,2019-09-15 21:00:00,2019-08-09 00:00:00,13
2019-09-15,A1,127.5,4,2019-09-15 09:00:00,2019-09-15 21:00:00,2019-07-29 00:00:00,46
2019-09-22,A1,1275.0,3,2019-09-22 09:02:00,2019-09-22 21:00:00,2019-08-20 00:42:00,48
2019-09-23,A1,255.0,3,2019-09-22 21:00:00,2019-09-23 09:00:00,2019-08-20 00:42:00,48
2019-09-23,A1,127.5,3,2019-09-23 09:00:00,2019-09-23 21:00:00,2019-08-20 00:42:00,48
2019-09-24,A1,1275.0,3,2019-09-23 21:00:00,2019-09-24 09:00:00,2019-08-20 00:42:00,48
2019-09-24,A1,255.0,3,2019-09-24 09:00:00,2019-09-24 21:00:00,2019-08-20 00:42:00,48
2019-09-25,A1,255.0,3,2019-09-24 21:00:00,2019-09-25 09:00:00,2019-08-20 00:42:00,48
2019-09-25,A1,595.0,3,2019-09-25 09:00:00,2019-09-25 21:00:00,2019-08-20 00:42:00,48
2019-09-25,A1,850.0,4,2019-09-25 09:00:00,2019-09-25 21:00:00,2019-09-11 00:00:00,9
2019-09-26,A1,595.0,3,2019-09-25 21:00:00,2019-09-26 09:00:00,2019-08-20 00:42:00,48
2019-09-26,A1,595.0,3,2019-09-26 09:00:00,2019-09-26 21:00:00,2019-08-20 00:42:00,48
2019-09-26,A1,425.0,4,2019-09-26 09:00:00,2019-09-26 21:00:00,2019-09-11 00:00:00,9
2019-09-27,A1,127.5,3,2019-09-26 21:00:00,2019-09-27 09:00:00,2019-08-26 22:04:00,42
2019-09-29,A1,255.0,3,2019-09-28 21:00:00,2019-09-29 09:00:00,2019-08-20 00:42:00,48
2019-10-01,A1,238.0,3,2019-10-01 09:00:00,2019-10-01 21:00:00,2019-08-26 22:04:00,42
2019-10-02,A1,467.5,3,2019-10-02 09:00:00,2019-10-02 21:00:00,2019-08-26 22:04:00,42
2019-10-03,A1,297.5,4,2019-10-02 21:00:00,2019-10-03 09:00:00,2019-07-29 00:00:00,46
2019-10-03,A1,297.5,4,2019-10-03 09:00:00,2019-10-03 21:00:00,2019-07-29 00:00:00,46
2019-10-04,A1,127.5,3,2019-10-03 21:00:00,2019-10-04 09:00:00,2019-08-26 22:04:00,42
2019-10-04,A1,850.0,3,2019-10-04 09:00:00,2019-10-04 21:00:00,2019-08-26 22:04:00,42
2019-10-04,A1,850.0,3,2019-10-04 09:00:00,2019-10-05 21:00:00,2019-08-09 00:00:00,18
2019-10-05,A1,297.5,4,2019-10-04 21:00:00,2019-10-05 09:00:00,2019-07-29 00:00:00,46
2019-10-05,A1,297.5,3,2019-10-04 21:00:00,2019-10-05 09:00:00,2019-08-09 00:00:00,18
2019-10-05,A1,170.0,3,2019-10-05 09:00:00,2019-10-05 21:00:00,2019-08-09 00:00:00,18
2019-10-11,A1,212.5,3,2019-10-10 21:00:00,2019-10-11 09:00:00,2019-08-20 00:42:00,48
2019-10-13,A1,85.0,3,2019-10-13 09:00:00,2019-10-13 21:00:00,2019-08-09 00:00:00,18
2019-10-14,A1,25.5,3,2019-10-13 21:00:00,2019-10-14 09:00:00,2019-08-09 00:00:00,18
2019-10-15,A1,127.5,3,2019-10-14 21:00:00,2019-10-15 09:00:00,2019-08-09 00:00:00,18
2019-10-16,A1,85.0,3,2019-10-15 21:00:00,2019-10-16 09:00:00,2019-08-20 00:42:00,48
2019-10-16,A1,42.5,3,2019-10-15 21:00:00,2019-10-16 09:00:00,2019-08-20 00:42:00,48
2019-10-17,A1,127.5,3,2019-10-17 09:00:00,2019-10-17 21:00:00,2019-08-20 00:42:00,48
2019-10-19,A1,212.5,3,2019-10-19 09:00:00,2019-10-19 21:00:00,2019-08-20 00:42:00,48
2019-10-20,A1,21.25,3,2019-10-20 09:00:00,2019-10-20 21:00:00,2019-08-09 00:00:00,18
2019-10-27,A1,1275.0,4,2019-10-27 09:00:00,2019-10-27 21:00:00,2019-07-29 00:00:00,46
2019-10-28,A1,85.0,3,2019-10-27 21:00:00,2019-10-28 09:00:00,2019-08-09 00:00:00,18
2019-10-28,A1,680.0,3,2019-10-28 09:00:00,2019-10-28 21:00:00,2019-08-09 00:00:00,18
2019-10-28,A1,127.5,4,2019-10-27 21:00:00,2019-10-28 09:00:00,2019-07-29 00:00:00,46
2019-10-28,A1,255.0,4,2019-10-28 09:00:00,2019-10-28 21:00:00,2019-07-29 00:00:00,46
2019-10-29,A1,212.5,3,2019-10-28 21:00:00,2019-10-29 09:00:00,2019-08-09 00:00:00,18
2019-10-29,A1,85.0,4,2019-10-28 21:00:00,2019-10-29 09:00:00,2019-07-29 00:00:00,46
2019-10-30,A1,340.0,3,2019-10-29 21:00:00,2019-10-30 09:00:00,2019-08-09 00:00:00,18
2019-10-30,A1,425.0,4,2019-10-29 21:00:00,2019-10-30 09:00:00,2019-07-29 00:00:00,46
2019-10-30,A1,170.0,4,2019-10-30 09:00:00,2019-10-30 21:00:00,2019-07-29 00:00:00,46
2019-10-31,A1,170.0,4,2019-10-30 21:00:00,2019-10-31 09:00:00,2019-07-29 00:00:00,46
2019-11-02,A1,127.5,4,2019-11-02 09:00:00,2019-11-02 21:00:00,2019-07-29 00:00:00,46
2019-11-02,A1,153.0,3,2019-11-02 09:00:00,2019-11-02 21:00:00,2019-08-09 00:00:00,18
2019-11-02,A1,212.5,4,2019-11-02 09:00:00,2019-11-02 21:00:00,2019-09-11 00:00:00,9
2019-11-03,A1,297.5,4,2019-11-03 09:00:00,2019-11-03 21:00:00,2019-09-11 00:00:00,9
2019-11-03,A1,212.5,4,2019-11-03 09:00:00,2019-11-03 21:00:00,2019-07-29 00:00:00,46
2019-11-04,A1,297.5,3,2019-11-04 09:00:00,2019-11-04 21:00:00,2019-08-09 00:00:00,18
2019-11-04,A1,127.5,4,2019-11-04 09:00:00,2019-11-04 21:00:00,2019-09-11 00:00:00,9
2019-11-05,A1,170.0,4,2019-11-04 21:00:00,2019-11-05 09:00:00,2019-09-11 00:00:00,9
2019-11-05,A1,178.5,3,2019-11-04 21:00:00,2019-11-05 09:00:00,2019-08-09 00:00:00,18
2019-11-05,A1,212.5,3,2019-11-05 09:00:00,2019-11-05 21:00:00,2019-08-09 00:00:00,18
2019-11-06,A1,127.5,3,2019-11-05 21:00:00,2019-11-06 09:00:00,2019-08-09 00:00:00,18
2019-11-06,A1,127.5,4,2019-11-05 21:00:00,2019-11-06 09:00:00,2019-07-29 00:00:00,46
2019-11-06,A1,212.5,4,2019-11-05 21:00:00,2019-11-06 09:00:00,2019-09-11 00:00:00,9
2019-11-06,A1,42.5,4,2019-11-06 09:00:00,2019-11-06 21:00:00,2019-09-11 00:00:00,9
2019-11-07,A1,595.0,4,2019-11-06 21:00:00,2019-11-07 09:00:00,2019-09-11 00:00:00,9
2019-11-07,A1,85.0,4,2019-11-07 09:00:00,2019-11-07 21:00:00,2019-09-11 00:00:00,9
2019-11-08,A1,850.0,4,2019-11-07 21:00:00,2019-11-08 09:00:00,2019-09-11 00:00:00,9
2019-11-10,A1,170.0,4,2019-11-09 21:00:00,2019-11-10 09:00:00,2019-09-11 00:00:00,9
2019-11-10,A1,272.0,4,2019-11-10 09:00:00,2019-11-10 21:00:00,2019-09-11 00:00:00,9
2019-11-11,A1,187.0,4,2019-11-11 09:00:00,2019-11-11 21:00:00,2019-09-11 00:00:00,9
2019-11-11,A1,1317.5,4,2019-11-10 21:00:00,2019-11-11 09:00:00,2019-09-11 00:00:00,9
2019-11-12,A1,722.5,4,2019-11-11 21:00:00,2019-11-12 09:00:00,2019-09-11 00:00:00,9
2019-11-12,A1,807.5,4,2019-11-12 09:00:00,2019-11-12 21:00:00,2019-09-11 00:00:00,9
2019-11-12,A1,1062.5,4,2019-11-12 21:00:00,2019-11-13 09:00:00,2019-09-11 00:00:00,9
2019-11-12,A1,1657.5,4,2019-11-12 09:00:00,2019-11-13 21:00:00,2019-09-11 00:00:00,9
2019-11-14,A1,1530.0,4,2019-11-13 21:00:00,2019-11-14 09:00:00,2019-09-11 00:00:00,9
2019-11-14,A1,1530.0,4,2019-11-14 09:00:00,2019-11-14 21:00:00,2019-09-11 00:00:00,9
2019-11-15,A1,1190.0,4,2019-11-14 21:00:00,2019-11-15 09:00:00,2019-09-11 00:00:00,9
2019-11-15,A1,1275.0,4,2019-11-15 09:00:00,2019-11-15 21:00:00,2019-09-11 00:00:00,9
2019-11-15,A1,85.0,4,2019-11-15 09:00:00,2019-11-15 21:00:00,2019-07-29 00:00:00,46
2019-11-16,A1,127.5,4,2019-11-16 09:00:00,2019-11-16 21:00:00,2019-07-29 00:00:00,46
2019-11-17,A1,85.0,4,2019-11-16 21:00:00,2019-11-17 09:00:00,2019-07-29 00:00:00,46
2019-11-18,A1,93.5,4,2019-11-18 09:00:00,2019-11-18 21:00:00,2019-07-29 00:00:00,46
2019-11-19,A1,85.0,4,2019-11-18 21:00:00,2019-11-19 09:00:00,2019-07-29 00:00:00,46
2019-11-19,A1,76.5,4,2019-11-19 09:00:00,2019-11-19 21:00:00,2019-07-29 00:00:00,46
2019-11-20,A1,29.75,4,2019-11-20 09:00:00,2019-11-20 21:00:00,2019-07-29 00:00:00,46
2019-11-21,A1,93.5,4,2019-11-20 21:00:00,2019-11-21 09:00:00,2019-07-29 00:00:00,46
2019-11-21,A1,272.0,4,2019-11-21 21:00:00,2019-11-22 09:00:00,2019-07-29 00:00:00,46
2019-11-22,A1,93.5,4,2019-11-21 21:00:00,2019-11-22 09:00:00,2019-07-29 00:00:00,46
2019-11-22,A1,1275.0,4,2019-11-22 09:00:00,2019-11-22 21:00:00,2019-07-29 00:00:00,46
2020-05-14,A1,680.0,4,2020-05-14 14:00:00,2020-05-14 19:00:00,2019-12-22 10:10:00,6
2020-05-15,A1,212.5,4,2020-05-14 21:00:00,2020-05-15 05:00:00,2019-12-22 10:10:00,6
2020-06-01,A1,170.0,6,2020-06-01 09:00:00,2020-06-01 21:00:00,2020-03-15 00:00:00,1
2020-06-02,A1,510.0,6,2020-06-02 00:00:00,2020-06-02 06:00:00,2020-03-15 00:00:00,1
2020-06-06,A1,442.0,6,2020-06-06 09:00:00,2020-06-06 21:00:00,2020-03-15 00:00:00,1
2020-06-07,A1,59.5,6,2020-06-07 11:00:00,2020-06-07 11:30:00,2020-03-15 00:00:00,1
2020-06-08,A1,569.5,6,2020-06-07 21:00:00,2020-06-08 09:00:00,2020-04-24 07:28:00,4
2020-06-09,A1,61.2,6,2020-06-08 21:00:00,2020-06-09 09:00:00,2020-03-15 00:00:00,1
2020-06-09,A1,85.0,6,2020-06-09 09:00:00,2020-06-09 21:00:00,2020-04-24 07:28:00,4
2020-06-10,A1,119.0,6,2020-06-09 21:01:00,2020-06-10 09:00:00,2020-03-15 00:00:00,1
2020-06-10,A1,127.5,6,2020-06-10 09:00:00,2020-06-10 21:00:00,2020-03-15 00:00:00,1
2020-06-11,A1,85.0,6,2020-06-10 21:01:00,2020-06-11 08:59:00,2020-04-24 07:28:00,4
2020-06-12,A1,85.0,6,2020-06-12 21:00:00,2020-06-13 09:00:00,2020-03-15 00:00:00,1
2020-06-13,A1,85.0,6,2020-06-12 21:00:00,2020-06-13 09:00:00,2020-04-24 07:28:00,4
2020-06-13,A1,85.0,6,2020-06-13 09:00:00,2020-06-13 21:00:00,2020-04-24 07:28:00,4
2020-06-13,A1,68.0,6,2020-06-13 09:00:00,2020-06-13 21:00:00,2020-03-15 00:00:00,1
2020-06-13,A1,102.0,6,2020-06-13 09:00:00,2020-06-13 21:00:00,2020-04-24 07:28:00,4
2020-06-14,A1,297.5,6,2020-06-13 23:45:00,2020-06-14 00:30:00,2020-04-24 07:28:00,4
2020-06-14,A1,170.0,6,2020-06-13 21:30:00,2020-06-13 23:30:00,2020-03-15 00:00:00,1
2020-06-14,A1,76.5,6,2020-06-14 09:00:00,2020-06-14 21:00:00,2020-04-24 07:28:00,4
2020-06-14,A1,85.0,6,2020-06-14 09:00:00,2020-06-14 21:00:00,2020-04-24 07:28:00,4
2020-06-14,A1,127.5,6,2020-06-14 09:00:00,2020-06-14 21:00:00,2020-03-15 00:00:00,1
2020-06-14,A1,127.5,6,2020-06-14 21:00:00,2020-06-15 09:00:00,2020-03-15 00:00:00,1
2020-06-14,A1,297.5,6,2020-06-14 21:00:00,2020-06-15 09:00:00,2020-03-15 00:00:00,1
2020-06-15,A1,127.5,6,2020-06-15 09:01:00,2020-06-15 20:59:00,2020-03-15 00:00:00,1
2020-06-16,A1,68.0,6,2020-06-15 21:00:00,2020-06-16 09:00:00,2020-03-15 00:00:00,1
2020-06-16,A1,119.0,6,2020-06-16 09:01:00,2020-06-16 20:59:00,2020-04-24 07:28:00,4
2020-06-16,A1,51.0,6,2020-06-16 09:01:00,2020-06-16 20:59:00,2020-03-15 00:00:00,1
2020-06-16,A1,51.0,6,2020-06-16 09:01:00,2020-06-16 20:59:00,2020-03-15 00:00:00,1
2020-06-17,A1,93.5,6,2020-06-16 21:00:00,2020-06-17 09:00:00,2020-03-15 00:00:00,1
2020-06-17,A1,34.0,6,2020-06-16 21:00:00,2020-06-17 09:00:00,2020-04-24 07:28:00,4
2020-06-17,A1,85.0,6,2020-06-17 13:00:00,2020-06-17 13:30:00,2020-03-15 00:00:00,1
2020-06-18,A1,59.5,6,2020-06-17 21:01:00,2020-06-18 09:00:00,2020-03-15 00:00:00,1
2020-06-18,A1,59.5,6,2020-06-17 21:01:00,2020-06-18 09:00:00,2020-04-24 07:28:00,4
2020-06-19,A1,25.5,6,2020-06-18 21:01:00,2020-06-19 09:00:00,2020-04-24 07:28:00,4
2020-06-19,A1,212.5,6,2020-06-19 09:00:00,2020-06-19 21:00:00,2020-03-15 00:00:00,1
2020-06-19,A1,323.0,6,2020-06-19 09:00:00,2020-06-19 21:00:00,2020-04-24 07:28:00,4
2020-06-20,A1,25.5,6,2020-06-19 21:00:00,2020-06-20 09:00:00,2020-04-24 07:28:00,4
2020-06-20,A1,127.5,6,2020-06-20 09:00:00,2020-06-20 21:00:00,2020-03-15 00:00:00,1
2020-06-20,A1,153.0,6,2020-06-20 09:00:00,2020-06-20 21:00:00,2020-04-24 07:28:00,4
2020-06-20,A1,68.0,4,2020-06-20 09:00:00,2020-06-20 21:00:00,2020-01-12 00:00:00,39
2020-06-20,A1,85.0,6,2020-06-20 21:00:00,2020-06-21 09:00:00,2020-03-15 00:00:00,1
2020-06-21,A1,85.0,6,2020-06-21 09:00:00,2020-06-21 21:00:00,2020-04-24 07:28:00,4
2020-06-21,A1,127.5,6,2020-06-21 21:00:00,2020-06-22 09:00:00,2020-03-15 00:00:00,1
2020-06-22,A1,153.0,6,2020-06-22 09:00:00,2020-06-22 21:00:00,2020-03-15 00:00:00,1
2020-06-23,A1,110.5,6,2020-06-23 09:00:00,2020-06-23 21:00:00,2020-03-15 00:00:00,1
2020-06-23,A1,59.5,6,2020-06-23 09:01:00,2020-06-23 10:20:00,2020-04-24 07:28:00,4
2020-06-24,A1,68.0,4,2020-06-23 21:00:00,2020-06-24 09:00:00,2020-01-12 00:00:00,39
2020-06-24,A1,51.0,6,2020-06-23 21:00:00,2020-06-24 09:00:00,2020-04-24 07:28:00,4
2020-06-24,A1,102.0,4,2020-06-24 09:01:00,2020-06-24 20:59:00,2020-01-12 00:00:00,39
2020-06-24,A1,85.0,6,2020-06-24 09:01:00,2020-06-24 20:59:00,2020-03-15 00:00:00,1
2020-06-24,A1,119.0,6,2020-06-24 09:01:00,2020-06-24 20:59:00,2020-04-24 07:28:00,4
2020-06-25,A1,144.5,4,2020-06-24 21:00:00,2020-06-25 09:00:00,2020-01-12 00:00:00,39
2020-06-25,A1,85.0,6,2020-06-25 10:00:00,2020-06-25 10:30:00,2020-03-15 00:00:00,1
2020-06-26,A1,102.0,6,2020-06-25 21:01:00,2020-06-26 08:59:00,2020-03-15 00:00:00,1
2020-06-26,A1,102.0,4,2020-06-25 21:01:00,2020-06-26 09:00:00,2020-01-12 00:00:00,39
2020-06-26,A1,153.0,4,2020-06-25 21:01:00,2020-06-26 09:00:00,2020-05-18 05:18:00,23
2020-06-26,A1,85.0,6,2020-06-26 11:20:00,2020-06-26 11:50:00,2020-04-24 07:28:00,4
2020-06-27,A1,59.5,6,2020-06-26 21:01:00,2020-06-27 09:00:00,2020-03-15 00:00:00,1
2020-06-27,A1,178.5,6,2020-06-27 09:00:00,2020-06-27 21:00:00,2020-04-24 07:28:00,4
2020-06-27,A1,102.0,6,2020-06-27 23:00:00,2020-06-27 23:30:00,2020-03-15 00:00:00,1
2020-06-28,A1,272.0,6,2020-06-28 09:00:00,2020-06-28 21:00:00,2020-03-15 00:00:00,1
