Склад,Штабель,Марка,Максимальная температура,Пикет,Дата акта,Смена
3,7,A1-СКГ,16.2,,2019-11-26,219.0
3,36,A1-МТ-ШУБ,14.9,,2019-11-26,219.0
3,17,A1-КРУ,12.3,,2019-11-26,219.0
3,31,A1-СА-ШУБ,15.6,,2019-11-26,219.0
4,47,A1-СУЭК,13.1,,2019-11-26,219.0
4,46,A1,30.7,,2019-11-26,219.0
4,9,A1-КТК,63.1,4042-4047,2019-11-26,219.0
4,19,A1-КТК,12.0,,2019-11-26,219.0
4,10,A1-СУЭК,10.3,,2019-11-26,219.0
3,7,A1-СКГ,13.7,,2019-11-26,921.0
3,17,A1-КРУ,13.3,,2019-11-26,921.0
3,31,A1-СА-ШУБ,13.9,,2019-11-26,921.0
3,36,A1-МТ-ШУБ,10.9,,2019-11-26,921.0
4,9,A1-КТК,22.0,,2019-11-26,921.0
4,10,A1-СУЭК,5.9,,2019-11-26,921.0
4,19,A1-КТК,10.4,,2019-11-26,921.0
4,46,A1,18.8,,2019-11-26,921.0
4,47,A1-СУЭК,12.5,,2019-11-26,921.0
3,7,A1-СКГ,11.5,,2019-11-27,219.0
3,17,A1-КРУ,10.1,,2019-11-27,219.0
3,31,A1-СА-ШУБ,10.3,,2019-11-27,219.0
3,36,A1-МТ-ШУБ,8.7,,2019-11-27,219.0
4,9,A1-КТК,13.6,,2019-11-27,219.0
4,10,A1-СУЭК,15.7,,2019-11-27,219.0
4,19,A1-КТК,14.1,,2019-11-27,219.0
4,46,A1,16.2,,2019-11-27,219.0
4,47,A1-СУЭК,9.2,,2019-11-27,219.0
3,7,A1-СКГ,14.5,,2019-11-27,921.0
3,17,A1-КРУ,14.8,,2019-11-27,921.0
3,31,A1-СА-ШУБ,16.6,,2019-11-27,921.0
3,36,A1-МТ-ШУБ,13.4,,2019-11-27,921.0
4,9,A1-КТК,17.6,,2019-11-27,921.0
4,10,A1-СУЭК,12.0,,2019-11-27,921.0
4,19,A1-КТК,13.5,,2019-11-27,921.0
4,46,A1,14.8,,2019-11-27,921.0
4,47,A1-СУЭК,12.3,,2019-11-27,921.0
3,7,A1-СКГ,15.8,,2019-11-28,219.0
3,17,A1-КРУ,15.9,,2019-11-28,219.0
3,29,A1-СА-ШУБ,18.6,,2019-11-28,219.0
3,31,A1-СА-ШУБ,17.3,,2019-11-28,219.0
3,36,A1-МТ-ШУБ,13.1,,2019-11-28,219.0
4,9,A1-КТК,17.5,,2019-11-28,219.0
4,10,A1-СУЭК,12.7,,2019-11-28,219.0
4,19,A1-КТК,14.3,,2019-11-28,219.0
4,46,A1,14.2,,2019-11-28,219.0
4,47,A1-СУЭК,12.8,,2019-11-28,219.0
3,7,A1-СКГ,17.6,,2019-11-28,921.0
3,17,A1-КРУ,18.7,,2019-11-28,921.0
3,29,A1-СА-ШУБ,18.6,,2019-11-28,921.0
3,31,A1-СА-ШУБ,17.7,,2019-11-28,921.0
3,36,A1-МТ-ШУБ,15.7,,2019-11-28,921.0
4,9,A1-КТК,19.8,,2019-11-28,921.0
4,10,A1-СУЭК,16.0,,2019-11-28,921.0
4,19,A1-КТК,16.8,,2019-11-28,921.0
4,46,A1,16.0,,2019-11-28,921.0
4,47,A1-СУЭК,17.3,,2019-11-28,921.0
3,7,A1-СКГ,16.4,,2019-11-29,219.0
3,17,A1-КРУ,17.4,,2019-11-29,219.0
3,29,A1-САШУБ,15.1,,2019-11-29,219.0
3,31,A1-САШУБ,13.7,,2019-11-29,219.0
3,36,A1-МТШУБ,14.1,,2019-11-29,219.0
4,9,A1-КТК,18.2,,2019-11-29,219.0
4,10,FL-,17.1,,2019-11-29,219.0
4,16,A1-КТК,14.6,,2019-11-29,219.0
4,19,A1-КТК,15.7,,2019-11-29,219.0
4,46,A1,14.5,,2019-11-29,219.0
4,47,A1-СУЭК,16.1,,2019-11-29,219.0
3,7,A1-СКГ,19.9,,2019-11-30,921.0
3,36,A1-МТ-ШУБ,17.4,,2019-11-30,921.0
3,17,A1-КРУ,16.1,,2019-11-30,921.0
3,29,A1-СА-ШУБ,19.9,,2019-11-30,921.0
3,31,A1-СА-ШУБ,22.8,,2019-11-30,921.0
4,9,A1-КТК,20.1,,2019-11-30,921.0
4,19,A1-КТК,18.0,,2019-11-30,921.0
4,16,A1-КТК,14.7,,2019-11-30,921.0
4,10,A1-СУЭК,20.3,,2019-11-30,921.0
4,47,A1-СУЭК,21.5,,2019-11-30,921.0
4,46,A1,20.2,,2019-11-30,921.0
3,7,A1-СКГ,15.6,,2019-12-01,219.0
3,36,A1-МТ-ШУБ,17.1,,2019-12-01,219.0
3,17,A1-КРУ,13.2,,2019-12-01,219.0
3,29,A1-СА-ШУБ,15.7,,2019-12-01,219.0
3,31,A1-СА-ШУБ,17.2,,2019-12-01,219.0
4,9,A1-КТК,16.6,,2019-12-01,219.0
4,19,A1-КТК,20.4,,2019-12-01,219.0
4,16,A1-КТК,14.6,,2019-12-01,219.0
4,10,A1-СУЭК,16.5,,2019-12-01,219.0
4,47,A1-СУЭК,16.9,,2019-12-01,219.0
4,46,A1,10.2,/ \ <,2019-12-01,219.0
3,7,A1-СКГ,25.2,,2019-12-01,921.0
3,36,A1-МТ-ШУБ,20.5,,2019-12-01,921.0
3,17,A1-КРУ,15.0,,2019-12-01,921.0
3,29,A1-СА-ШУБ,19.9,,2019-12-01,921.0
3,31,A1-СА-ШУБ,17.7,,2019-12-01,921.0
4,9,A1-КТК,18.8,,2019-12-01,921.0
4,19,A1-КТК,18.4,,2019-12-01,921.0
4,16,A1-КТК,17.5,,2019-12-01,921.0
4,10,A1-СУЭК,15.2,,2019-12-01,921.0
4,47,A1-СУЭК,18.0,,2019-12-01,921.0
4,46,A1,10.6,,2019-12-01,921.0
3,7,A1-СКГ,12.4,,2019-12-02,219.0
3,36,A1-МТ-ШУБ,11.5,,2019-12-02,219.0
3,17,A1-КРУ,12.9,,2019-12-02,219.0
3,29,A1-СА-ШУБ,10.5,,2019-12-02,219.0
3,31,A1-СА-ШУБ,10.2,,2019-12-02,219.0
4,9,A1-КТК,16.2,,2019-12-02,219.0
4,19,A1-КТК,16.5,,2019-12-02,219.0
4,16,A1-КТК,12.6,,2019-12-02,219.0
4,10,A1-СУЭК,16.2,,2019-12-02,219.0
4,47,A1-СУЭК,9.0,,2019-12-02,219.0
4,46,A1,16.1,/  \г,2019-12-02,219.0
3,30,A1-СКГ,11.8,,2019-12-04,921.0
3,17,A1-КРУ,15.3,,2019-12-04,921.0
3,29,A1-СА-ШУБ,14.1,,2019-12-04,921.0
3,31,A1-СА-ШУБ,11.4,,2019-12-04,921.0
3,36,A1-МТ-ШУБ,14.2,,2019-12-04,921.0
4,9,A1-КТК,15.9,,2019-12-04,921.0
4,10,A1-СУЭК,12.0,,2019-12-04,921.0
4,16,A1-КТК,12.3,,2019-12-04,921.0
4,19,A1-КТК,11.7,,2019-12-04,921.0
4,46,A1,14.9,,2019-12-04,921.0
4,47,A1-СУЭК,13.7,,2019-12-04,921.0
3,30,A1-СКГ,17.2,,2019-12-05,219.0
3,17,A1-КРУ,14.0,,2019-12-05,219.0
3,29,A1-СА-ШУБ,14.7,,2019-12-05,219.0
3,31,A1-СА-ШУБ,15.3,,2019-12-05,219.0
3,36,A1-МТ-ШУБ,15.8,,2019-12-05,219.0
4,9,A1-КГК,16.3,,2019-12-05,219.0
4,10,A1-СУЭК,14.3,,2019-12-05,219.0
4,16,A1-КГК,16.5,,2019-12-05,219.0
4,19,A1-КГК,16.7,,2019-12-05,219.0
4,46,A1,12.2,,2019-12-05,219.0
4,47,A1-СУЭК,16.2,,2019-12-05,219.0
3,30,A1-СКГ,12.4,,2019-12-06,219.0
3,17,A1-КРУ,14.5,,2019-12-06,219.0
3,29,A1-СА-ШУБ,14.6,,2019-12-06,219.0
3,31,A1-СА-ШУБ,13.6,,2019-12-06,219.0
3,36,A1-МТ-ШУБ,11.1,,2019-12-06,219.0
4,9,A1-КТК,17.7,,2019-12-06,219.0
4,10,A1-СУЭК,18.7,,2019-12-06,219.0
4,16,A1-КТК,17.0,,2019-12-06,219.0
4,19,A1-КТК,17.1,,2019-12-06,219.0
4,46,A1,13.9,,2019-12-06,219.0
4,47,A1-СУЭК,18.7,1. V у /ПО7,2019-12-06,219.0
3,30,A1-СКГ,20.8,,2019-12-06,921.0
3,17,A1-КРУ,14.7,,2019-12-06,921.0
3,29,A1-СА-ШУБ,12.8,,2019-12-06,921.0
3,31,A1-СА-ШУБ,18.8,,2019-12-06,921.0
3,36,A1-МТ-ШУБ,11.9,,2019-12-06,921.0
4,9,A1-КТК,16.9,,2019-12-06,921.0
4,10,A1-СУЭК,12.2,,2019-12-06,921.0
4,16,A1-КТК,14.6,,2019-12-06,921.0
4,19,A1-КТК,15.2,,2019-12-06,921.0
4,46,A1,12.8,,2019-12-06,921.0
4,47,A1-СУЭК,11.7,Г J Л,2019-12-06,921.0
3,30,A1-СКГ,13.1,,2019-12-07,219.0
3,17,A1-КРУ,10.3,,2019-12-07,219.0
3,29,A1-СА-ШУБ,15.2,,2019-12-07,219.0
3,31,A1-СА-ШУБ,25.3,,2019-12-07,219.0
3,36,A1-МТ-ШУБ,8.4,,2019-12-07,219.0
4,9,A1-КТК,16.8,,2019-12-07,219.0
4,10,A1-СУЭК,12.9,,2019-12-07,219.0
4,16,A1-КТК,17.6,,2019-12-07,219.0
4,19,A1-КТК,18.1,,2019-12-07,219.0
4,46,A1,12.2,,2019-12-07,219.0
4,47,A1-СУЭК,12.6,,2019-12-07,219.0
3,30,A1-СКГ,17.8,,2019-12-07,921.0
3,17,A1-КРУ,15.4,,2019-12-07,921.0
3,29,A1-СА-ШУБ,16.4,,2019-12-07,921.0
3,36,A1-МТ-ШУБ,14.6,,2019-12-07,921.0
4,9,A1-КТК,17.7,,2019-12-07,921.0
4,16,A1-КТК,15.3,,2019-12-07,921.0
4,46,A1,14.7,,2019-12-07,921.0
4,10,A1-СУЭК,9.2,,2019-12-07,921.0
3,30,A1-СКГ,16.7,,2019-12-08,219.0
3,17,A1-КРУ,16.7,,2019-12-08,219.0
3,29,A1-СА-ШУБ,14.6,,2019-12-08,219.0
3,36,A1-МТ-ШУБ,15.8,,2019-12-08,219.0
4,9,A1-КТК,9.6,,2019-12-08,219.0
4,16,A1-КТК,15.8,,2019-12-08,219.0
4,46,A1,15.4,,2019-12-08,219.0
4,10,A1-СУЭК,12.7,,2019-12-08,219.0
3,30,A1-СКГ,17.0,,2019-12-08,921.0
3,17,A1-КРУ,17.4,,2019-12-08,921.0
3,29,A1-СА-,18.7,,2019-12-08,921.0
3,36,A1-МТ-ШУБ,15.9,,2019-12-08,921.0
4,9,A1-КТК,18.2,,2019-12-08,921.0
4,10,A1-СУЭК,12.9,,2019-12-08,921.0
4,16,A1-КТК,16.7,,2019-12-08,921.0
4,46,A1,15.3,,2019-12-08,921.0
3,30,A1-СКГ,17.1,,2019-12-09,219.0
3,17,A1-КРУ,15.4,,2019-12-09,219.0
3,29,A1-СА-,17.0,,2019-12-09,219.0
3,36,A1-МТ-,16.5,,2019-12-09,219.0
4,9,A1-КТК,16.0,,2019-12-09,219.0
4,10,A1-СУЭК,14.3,,2019-12-09,219.0
4,16,A1-КТК,15.9,,2019-12-09,219.0
4,46,A1,16.1,,2019-12-09,219.0
3,30,A1-СКГ,16.4,,2019-12-09,921.0
3,17,A1-КРУ,15.5,,2019-12-09,921.0
3,29,A1-СА-,16.2,,2019-12-09,921.0
3,36,A1-МТ-,17.3,,2019-12-09,921.0
4,9,A1-КТК,14.6,,2019-12-09,921.0
4,10,A1-СУЭК,17.3,,2019-12-09,921.0
4,16,A1-КТК,18.5,,2019-12-09,921.0
4,46,A1,16.1,,2019-12-09,921.0
3,30,A1-СКГ,15.7,,2019-12-10,219.0
3,17,A1-КРУ,14.6,,2019-12-10,219.0
3,29,A1-СА-ШУБ,17.1,,2019-12-10,219.0
3,36,A1-МТ-ШУБ,15.1,,2019-12-10,219.0
4,9,A1-КТК,16.2,,2019-12-10,219.0
4,10,A1-СУЭК,14.5,,2019-12-10,219.0
4,16,A1-КТК,17.7,,2019-12-10,219.0
4,46,A1,15.8,,2019-12-10,219.0
3,17,A1-КРУ,17.0,,2019-12-11,219.0
3,29,A1-СА-ШУБ,16.2,,2019-12-11,219.0
3,36,A1-МТ-ШУБ,15.9,,2019-12-11,219.0
4,9,A1-КТК,16.5,,2019-12-11,219.0
4,10,A1-СУЭК,15.7,,2019-12-11,219.0
4,16,A1-КТК,16.7,,2019-12-11,219.0
4,46,A1,15.2,,2019-12-11,219.0
3,12,A1-СА-,19.6,,2019-12-11,921.0
3,29,A1-СА-,18.7,,2019-12-11,921.0
3,36,A1-МТ-,22.4,,2019-12-11,921.0
4,9,A1-КТК,19.8,,2019-12-11,921.0
4,16,A1-КТК,19.6,,2019-12-11,921.0
4,46,A1,15.0,,2019-12-11,921.0
4,10,A1-СУЭК,15.9,,2019-12-11,921.0
3,12,A1-СА-,17.8,,2019-12-12,219.0
3,29,A1-СА-,13.5,,2019-12-12,219.0
3,36,A1-МТ-ШУБ,15.8,,2019-12-12,219.0
4,9,A1-КТК,18.5,,2019-12-12,219.0
4,16,A1-КТК,17.2,,2019-12-12,219.0
4,46,A1,13.5,,2019-12-12,219.0
4,10,A1-СУЭК,11.9,,2019-12-12,219.0
3,12,A1-СА-,19.6,,2019-12-12,921.0
3,21,A1,16.9,,2019-12-12,921.0
3,31,A1-СА-ШУБ,20.1,,2019-12-12,921.0
3,36,A1-МТ-ШУБ,21.1,,2019-12-12,921.0
4,9,A1-КГК,19.4,,2019-12-12,921.0
4,16,A1-КГК,18.1,,2019-12-12,921.0
4,46,A1,19.6,,2019-12-12,921.0
4,10,A1-СУЭК,15.5,,2019-12-12,921.0
3,12,A1-СА-ШУБ,17.1,,2019-12-13,219.0
3,21,A1,10.1,,2019-12-13,219.0
3,31,A1-СА-ШУБ,18.4,,2019-12-13,219.0
3,36,A1-МТ-ШУБ,14.5,,2019-12-13,219.0
4,9,A1-КТК,17.2,,2019-12-13,219.0
4,16,A1-КТК,16.3,,2019-12-13,219.0
4,46,A1,10.4,,2019-12-13,219.0
4,10,A1-СУЭК,10.9,,2019-12-13,219.0
3,12,A1-СА-,16.1,,2019-12-13,921.0
3,21,A1,13.7,,2019-12-13,921.0
3,31,A1-СА-,17.7,,2019-12-13,921.0
3,36,A1-МТ-,15.7,,2019-12-13,921.0
4,9,A1-КТК,16.7,,2019-12-13,921.0
4,16,A1-КГК,13.9,,2019-12-13,921.0
4,23,A1-СУЭК-,10.3,0,2019-12-13,921.0
4,46,A1,11.1,к,2019-12-13,921.0
4,10,A1-СУЭК,13.4,,2019-12-13,921.0
3,12,A1-СА-ШУБ,13.4,,2019-12-14,219.0
3,21,A1,10.8,,2019-12-14,219.0
3,31,A1-СА-ШУБ,11.5,,2019-12-14,219.0
3,36,A1-МТ-ШУБ,19.7,,2019-12-14,219.0
4,9,A1-КТК,14.5,,2019-12-14,219.0
4,16,A1-КТК,11.8,,2019-12-14,219.0
4,23,A1-СУЭК-КАМ,6.6,,2019-12-14,219.0
4,46,A1,8.1,,2019-12-14,219.0
4,10,A1-СУЭК,7.9,,2019-12-14,219.0
3,12,A1-СА-ШУБ,18.0,,2019-12-14,921.0
3,21,A1-СТР-,11.9,,2019-12-14,921.0
3,22,A1-КРУ,14.6,,2019-12-14,921.0
3,31,A1-СА-,16.8,,2019-12-14,921.0
3,36,A1-МТ-ШУБ,16.7,,2019-12-14,921.0
4,9,A1-КТК,16.8,,2019-12-14,921.0
4,10,A1-СУЭК,16.3,,2019-12-14,921.0
4,16,A1-КТК,15.1,,2019-12-14,921.0
4,23,A1-СУЭК-,17.5,,2019-12-14,921.0
4,46,A1,15.5,,2019-12-14,921.0
3,12,A1-СА-ШУБ,11.3,,2019-12-15,219.0
3,21,A1-СТР-,13.7,,2019-12-15,219.0
3,22,A1-КРУ,12.5,,2019-12-15,219.0
3,31,A1-СА-ШУБ,14.9,,2019-12-15,219.0
3,36,A1-МТ-ШУБ,13.1,,2019-12-15,219.0
4,9,A1-КТК,14.8,,2019-12-15,219.0
4,10,A1-СУЭК,14.3,,2019-12-15,219.0
4,16,A1-КТК,15.1,,2019-12-15,219.0
4,23,A1-СУЭК-КАМ,12.3,,2019-12-15,219.0
4,46,A1,13.2,/),2019-12-15,219.0
3,12,A1-СА-ШУБ,17.1,,2019-12-15,921.0
3,21,A1-СТР-,12.0,,2019-12-15,921.0
3,22,A1-КРУ,13.4,,2019-12-15,921.0
3,31,A1-СА-,16.8,,2019-12-15,921.0
3,36,A1-МТ-ШУБ,16.2,,2019-12-15,921.0
4,9,A1-КТК,16.5,,2019-12-15,921.0
4,10,A1-СУЭК,16.0,,2019-12-15,921.0
4,16,A1-КТК,14.8,,2019-12-15,921.0
4,23,A1-СУЭК-,17.2,,2019-12-15,921.0
4,46,A1,15.5,,2019-12-15,921.0
3,7,A1-КТК,11.4,,2019-12-16,219.0
3,12,A1-СА-,15.5,,2019-12-16,219.0
3,21,A1-СТР-,14.8,,2019-12-16,219.0
3,29,A1-СА-ШУБ,15.8,,2019-12-16,219.0
3,36,A1-МТ-ШУБ,123.0,,2019-12-16,219.0
4,9,A1-КТК,14.3,,2019-12-16,219.0
4,10,A1-СУЭК,15.7,,2019-12-16,219.0
4,16,A1-КТК,14.8,,2019-12-16,219.0
4,23,A1-СУЭК-КАМ,15.7,,2019-12-16,219.0
4,46,A1,13.7,,2019-12-16,219.0
3,7,A1-КТК,16.1,,2019-12-16,921.0
3,12,A1-СА-,14.6,,2019-12-16,921.0
3,29,A1-СА-,16.2,,2019-12-16,921.0
3,36,A1-МТ-ШУБ,15.7,,2019-12-16,921.0
4,9,A1-КТК,15.0,,2019-12-16,921.0
4,10,A1-СУЭК,13.0,,2019-12-16,921.0
4,16,A1-КТК,15.6,,2019-12-16,921.0
4,23,A1-СУЭК-,13.5,0,2019-12-16,921.0
4,46,A1,14.9,,2019-12-16,921.0
3,4,A1-СТР,5.0,,2020-01-19,921.0
3,10,A1,5.4,,2020-01-19,921.0
3,12,A1-СА-,9.4,,2020-01-19,921.0
3,36,A1-МТ-,4.2,,2020-01-19,921.0
4,19,A1-КТК,38.7,,2020-01-19,921.0
4,21,A1-СУЭК-,5.8,,2020-01-19,921.0
4,16,A1-КТК,19.7,,2020-01-19,921.0
4,39,A1-ГЕН-МЕР,10.3,,2020-01-19,921.0
4,6,A1,4.8,,2020-01-19,921.0
4,47,A1-СУЭК,10.9,,2020-01-19,921.0
3,4,A1-СТР,4.2,,2020-01-20,219.0
3,10,A1,5.7,,2020-01-20,219.0
3,32,A1-СА-ШУБ,6.0,,2020-01-20,219.0
3,36,A1-МТ-ШУБ,5.3,,2020-01-20,219.0
4,19,A1-КТК,40.5,,2020-01-20,219.0
4,21,A1-СУЭК-,8.3,,2020-01-20,219.0
4,16,A1-КТК,19.3,,2020-01-20,219.0
4,39,A1-ГЕН-,3.1,,2020-01-20,219.0
4,6,A1,0.0,,2020-01-20,219.0
4,47,A1-СУЭК,7.0,,2020-01-20,219.0
3,4,A1-СТР,0.6,,2020-01-20,921.0
3,10,A1,3.0,,2020-01-20,921.0
3,32,A1-СА-,3.0,,2020-01-20,921.0
3,36,A1-МТ-,5.2,,2020-01-20,921.0
4,19,A1-КТК,37.9,,2020-01-20,921.0
4,21,A1-СУЭК-КАМ,0.1,,2020-01-20,921.0
4,16,A1-КТК,17.9,,2020-01-20,921.0
4,39,A1-ГЕН-МЕР,5.4,,2020-01-20,921.0
4,6,A1,1.6,,2020-01-20,921.0
4,47,A1-СУЭК,8.4,,2020-01-20,921.0
3,4,A1-СТР,2.8,,2020-01-21,219.0
3,10,A1,5.5,,2020-01-21,219.0
3,32,A1-СА-,1.6,,2020-01-21,219.0
3,36,A1-МТ-,5.5,,2020-01-21,219.0
4,19,A1-КТК,15.8,,2020-01-21,219.0
4,21,A1-СУЭК-КАМ,0.9,,2020-01-21,219.0
4,16,A1-КТК,16.6,,2020-01-21,219.0
4,39,A1-ГЕН-МЕР,2.1,,2020-01-21,219.0
4,6,A1,0.2,,2020-01-21,219.0
4,47,A1-СУЭК,3.6,,2020-01-21,219.0
4,16,A1,52.9,4028-4040,2020-01-26,921.0
4,47,A1,42.4,4086.4087,2020-01-28,921.0
4,47,A1,30.8,4085.4086,2020-01-28,219.0
3,12,A1-СА-,8.6,,2020-02-03,921.0
3,50,A1,10.2,,2020-02-03,921.0
3,36,A1-МТ-ШУБ,8.3,,2020-02-03,921.0
4,39,A1-ГЕН-,9.6,,2020-02-03,921.0
4,16,A1-КТК,80.1,4044-4055,2020-02-03,921.0
4,6,A1,8.3,,2020-02-03,921.0
4,47,A1-СУЭК,8.5,,2020-02-03,921.0
4,21,A1-СУЭК,5.8,,2020-02-03,921.0
4,41,A1-СА-,9.1,,2020-02-03,921.0
4,16,A1-КТК,49.9,4043-4055,2020-02-04,219.0
4,16,A1-КТК,30.5,4042-4048,2020-02-05,219.0
3,12,A1-СА-ШУБ,9.6,,2020-02-04,921.0
3,20,A1-КТК,9.4,,2020-02-04,921.0
3,50,A1,1.5,,2020-02-04,921.0
3,36,A1-МТ-ШУБ,1.2,,2020-02-04,921.0
4,39,A1-ГЕН-МЕР,3.5,,2020-02-04,921.0
4,16,A1-КТК,19.5,,2020-02-04,921.0
4,21,A1-СУЭК-КАМ,6.7,,2020-02-04,921.0
4,41,A1-СА-,7.4,,2020-02-04,921.0
4,6,A1,1.5,,2020-02-04,921.0
4,47,A1-СУЭК,5.3,,2020-02-04,921.0
3,12,A1-СА-ШУБ,3.3,,2020-02-05,921.0
3,20,A1-КТК,4.2,,2020-02-05,921.0
3,50,A1,5.2,,2020-02-05,921.0
3,36,A1-МТ-ШУБ,4.2,,2020-02-05,921.0
4,39,A1-ГЕН-МЕР,4.9,,2020-02-05,921.0
4,16,A1-КТК,18.5,,2020-02-05,921.0
4,21,A1-СУЭК-КАМ,5.8,,2020-02-05,921.0
4,41,A1-СА-,0.5,,2020-02-05,921.0
4,6,A1,1.4,,2020-02-05,921.0
4,47,A1-СУЭК,7.1,,2020-02-05,921.0
4,16,A1-КТК,15.8,4042-4048,2020-02-06,219.0
4,16,A1,39.3,4032-4045,2020-02-06,921.0
4,16,A1,67.6,"4034-4044, 4051, 4054",2020-02-06,219.0
4,16,A1,76.3,4044-4048,2020-02-07,921.0
4,16,A1,48.8,4042-4054,2020-02-08,219.0
4,16,A1,38.5,4042-4054,2020-02-08,921.0
4,16,A1,23.0,4044-4054,2020-02-09,219.0
4,16,A1,64.3,4044-4054,2020-02-09,921.0
4,16,A1,67.2,"4042, 4048",2020-02-10,219.0
4,16,A1,87.0,"4046, 4045, 4048, 4051",2020-02-10,921.0
4,16,A1,80.4,4045-4053,2020-02-11,219.0
4,16,A1,84.9,"4048, 4051,4052",2020-02-11,921.0
4,16,A1,85.2,"4048,4051,4052",2020-02-12,219.0
4,16,A1,81.3,4043-4054,2020-02-12,921.0
4,16,A1,68.3,4046.4054,2020-02-13,219.0
4,16,A1,60.3,"4045, 4046, 4048, 4052",2020-02-13,921.0
3,36,A1,20.3,3113-3120,2020-02-13,921.0
3,20,A1,16.6,3087-3099,2020-02-13,921.0
3,12,A1,14.0,3026-3074,2020-02-13,921.0
3,50,A1,14.4,3100-3113,2020-02-13,921.0
4,47,A1,38.8,4087-4098,2020-02-13,921.0
4,41,A1,36.7,4076-4086,2020-02-13,921.0
4,39,A1,39.8,4012-4029,2020-02-13,921.0
4,30,A1,38.3,4031-4038,2020-02-13,921.0
4,23,A1,48.2,4055-4062,2020-02-13,921.0
4,21,A1,29.2,4063-4074,2020-02-13,921.0
4,6,A1,38.8,4099-4120,2020-02-13,921.0
3,36,A1,20.3,3113-3120,2020-02-13,921.0
3,20,A1,16.6,3087-3099,2020-02-13,921.0
3,12,A1,14.0,3026-3074,2020-02-13,921.0
